generation,scenario,seed,best,median,mean,arrival_ratio
166,Shuttle,11,8.39437,1.7351,2.35309,0.0913086
167,Shuttle,11,8.46302,1.79371,2.39141,0.0910645
168,Shuttle,11,8.26178,1.66797,2.33301,0.0871582
169,Shuttle,11,8.26772,1.75733,2.29844,0.0825195
170,Shuttle,11,8.28657,1.63166,2.20506,0.0837402
171,Shuttle,11,8.09927,1.72736,2.35855,0.0925293
172,Shuttle,11,8.16899,1.79349,2.35015,0.0866699
173,Shuttle,11,8.41382,1.83674,2.51041,0.0981445
174,Shuttle,11,8.10218,1.70377,2.37482,0.0856934
175,Shuttle,11,8.28711,1.85174,2.44501,0.0910645
176,Shuttle,11,8.58589,1.75543,2.50793,0.0964355
177,Shuttle,11,8.23116,1.74427,2.4329,0.0898438
178,Shuttle,11,8.3022,1.82863,2.64518,0.103271
179,Shuttle,11,8.06244,1.84157,2.43755,0.0888672
180,Shuttle,11,8.27838,1.89913,2.64963,0.102051
181,Shuttle,11,8.42518,1.97655,2.69949,0.106445
182,Shuttle,11,8.48232,1.82293,2.58673,0.0991211
183,Shuttle,11,8.24449,1.95313,2.68204,0.101807
184,Shuttle,11,8.3572,1.95514,2.71241,0.107178
185,Shuttle,11,8.18419,1.91951,2.5404,0.0935059
186,Shuttle,11,8.37674,1.9383,2.57029,0.100586
187,Shuttle,11,8.51087,2.03907,2.81649,0.113525
188,Shuttle,11,8.24331,1.96836,2.84366,0.118896
189,Shuttle,11,8.51956,2.25722,3.01858,0.131104
190,Shuttle,11,8.36558,2.09871,2.83317,0.116455
191,Shuttle,11,8.49632,1.99692,2.81529,0.116455
192,Shuttle,11,8.27041,2.13283,2.83879,0.119629
193,Shuttle,11,8.33542,2.14909,2.89373,0.119385
194,Shuttle,11,8.18453,2.01056,2.67961,0.105469
195,Shuttle,11,8.35162,1.89061,2.69858,0.10791
196,Shuttle,11,8.14415,2.15241,2.87872,0.120361
197,Shuttle,11,8.27435,2.09985,2.82226,0.109131
198,Shuttle,11,8.49719,1.98843,2.75391,0.112549
199,Shuttle,11,8.25805,2.0293,2.84966,0.117432
200,Shuttle,11,8.54448,1.95325,2.67562,0.109375
201,Shuttle,11,8.24057,2.14054,2.83028,0.118896
202,Shuttle,11,8.45199,2.33529,2.9376,0.125488
203,Shuttle,11,8.19136,2.15763,2.84034,0.116699
204,Shuttle,11,8.54496,2.08063,2.68397,0.10498
205,Shuttle,11,8.47303,2.00648,2.83812,0.116699
206,Shuttle,11,8.18863,2.01395,2.77467,0.114258
207,Shuttle,11,8.07714,2.076,2.75945,0.106934
208,Shuttle,11,8.43107,2.03124,2.78202,0.116943
209,Shuttle,11,8.33046,2.04473,2.80598,0.112061
210,Shuttle,11,8.29954,1.88575,2.55533,0.100586
211,Shuttle,11,8.49436,1.97514,2.71658,0.113281
212,Shuttle,11,8.56669,1.84913,2.5104,0.0993652
213,Shuttle,11,8.34582,1.9712,2.6728,0.106445
214,Shuttle,11,8.37804,2.02638,2.76965,0.115479
215,Shuttle,11,8.76766,1.97571,2.75506,0.109863
216,Shuttle,11,8.16835,1.92076,2.60875,0.102539
217,Shuttle,11,8.24551,1.88029,2.51742,0.100586
218,Shuttle,11,8.00385,1.92983,2.58683,0.106445
219,Shuttle,11,8.2339,1.89786,2.6229,0.108643
220,Shuttle,11,8.2418,1.93599,2.64677,0.110107
221,Shuttle,11,8.31438,1.96799,2.68517,0.106934
222,Shuttle,11,8.12516,1.89928,2.60281,0.10498
223,Shuttle,11,8.34346,1.88563,2.56783,0.104248
224,Shuttle,11,8.48188,1.8583,2.57335,0.109131
225,Shuttle,11,8.53041,1.81249,2.43771,0.0969238
226,Shuttle,11,8.28049,1.92643,2.5526,0.103027
227,Shuttle,11,8.27297,2.00953,2.71996,0.110596
228,Shuttle,11,8.42227,1.96782,2.55957,0.105225
229,Shuttle,11,8.17294,2.06227,2.7804,0.114014
230,Shuttle,11,8.16564,1.9298,2.60839,0.107422
231,Shuttle,11,8.47829,1.85388,2.55653,0.105225
232,Shuttle,11,8.27049,1.88754,2.58045,0.104248
233,Shuttle,11,8.3333,1.80795,2.53927,0.10498
234,Shuttle,11,8.51989,1.9393,2.65879,0.111328
235,Shuttle,11,8.47953,2.04474,2.80261,0.116455
236,Shuttle,11,8.29998,1.96221,2.67101,0.109375
237,Shuttle,11,8.48019,1.91465,2.59967,0.106689
238,Shuttle,11,8.64316,2.01087,2.78689,0.118164
239,Shuttle,11,8.40615,2.00311,2.78254,0.113525
240,Shuttle,11,8.22225,1.82427,2.57729,0.100586
241,Shuttle,11,8.72182,1.83837,2.56428,0.101562
242,Shuttle,11,8.37384,1.94948,2.63594,0.104248
243,Shuttle,11,8.5428,2.0364,2.85411,0.120361
244,Shuttle,11,8.31801,2.30839,2.86278,0.121582
245,Shuttle,11,8.28774,2.02445,2.64447,0.10498
246,Shuttle,11,8.42225,2.04953,2.807,0.113281
247,Shuttle,11,8.79753,2.19604,2.9321,0.125244
248,Shuttle,11,8.59986,2.14353,2.91808,0.123291
249,Shuttle,11,8.86076,2.21709,3.00583,0.13208
250,Shuttle,11,8.62565,2.27636,2.85848,0.123535
251,Shuttle,11,8.51008,2.0832,2.78431,0.114258
252,Shuttle,11,8.88748,2.11784,2.89004,0.121826
253,Shuttle,11,8.61616,2.49646,3.08707,0.130859
254,Shuttle,11,8.51924,2.31371,3.01933,0.12793
255,Shuttle,11,8.38629,2.78683,3.07216,0.131836
256,Shuttle,11,8.46973,2.25791,2.98584,0.125
257,Shuttle,11,8.66253,2.90073,3.26583,0.145996
258,Shuttle,11,8.43484,2.78001,3.15493,0.136719
259,Shuttle,11,8.49052,2.88965,3.20509,0.138672
260,Shuttle,11,8.30402,2.81375,3.13233,0.13623
261,Shuttle,11,8.52317,2.49741,3.01803,0.129639
262,Shuttle,11,8.46859,3.04933,3.2201,0.14502
263,Shuttle,11,8.75667,3.1331,3.40206,0.156006
264,Shuttle,11,8.38742,3.08325,3.17806,0.140137
265,Shuttle,11,8.61914,3.08692,3.32955,0.148682
266,Shuttle,11,8.50442,2.90553,3.21703,0.143799
267,Shuttle,11,8.62516,3.04367,3.24247,0.142822
268,Shuttle,11,8.68842,2.25384,3.01118,0.122559
269,Shuttle,11,8.47127,2.47623,3.14149,0.132812
