generation,scenario,seed,best,median,mean,arrival_ratio
174,Shuttle,23,7.67139,1.52487,1.86614,0.0734863
175,Shuttle,23,8.19214,1.78167,2.17313,0.0876465
176,Shuttle,23,8.17702,1.91014,2.26935,0.0891113
177,Shuttle,23,8.3081,1.75574,2.1621,0.0859375
178,Shuttle,23,7.57679,1.73714,2.16608,0.0895996
179,Shuttle,23,8.06071,1.64359,2.03723,0.079834
180,Shuttle,23,8.29363,1.73432,2.01674,0.083252
181,Shuttle,23,8.84616,1.67894,1.98921,0.072998
182,Shuttle,23,8.2433,1.79644,2.15897,0.0883789
183,Shuttle,23,8.16159,1.66636,1.98208,0.0800781
184,Shuttle,23,8.56908,1.67405,1.92978,0.0720215
185,Shuttle,23,8.1632,1.73879,2.02737,0.0783691
186,Shuttle,23,8.01572,1.60627,1.97496,0.0795898
187,Shuttle,23,8.51847,1.62843,1.93357,0.076416
188,Shuttle,23,8.54723,1.73305,2.08308,0.0837402
189,Shuttle,23,8.42486,1.79115,2.20154,0.0859375
190,Shuttle,23,8.45093,1.74246,2.16029,0.0859375
191,Shuttle,23,8.34779,1.6226,2.09062,0.0825195
192,Shuttle,23,8.35164,1.74997,2.21559,0.0883789
193,Shuttle,23,8.1614,1.70757,2.12014,0.0830078
194,Shuttle,23,8.6393,1.6508,2.02917,0.0810547
195,Shuttle,23,8.22336,1.65527,2.05163,0.0769043
196,Shuttle,23,7.77557,1.63015,2.04627,0.0751953
197,Shuttle,23,7.59385,1.47224,1.80929,0.0661621
198,Shuttle,23,7.7837,1.57313,1.91642,0.0720215
199,Shuttle,23,8.08685,1.65154,2.03484,0.0769043
200,Shuttle,23,8.04135,1.81986,2.28812,0.10083
201,Shuttle,23,8.03322,1.6109,2.05433,0.0810547
202,Shuttle,23,7.77644,1.57142,1.95464,0.0749512
203,Shuttle,23,8.99562,1.63168,1.90991,0.0739746
204,Shuttle,23,8.30652,1.75167,2.07716,0.0793457
205,Shuttle,23,8.57373,1.68915,2.04772,0.0854492
206,Shuttle,23,8.16898,1.89321,2.28817,0.0961914
207,Shuttle,23,8.12272,1.63165,1.94459,0.0754395
208,Shuttle,23,8.095,1.83701,2.17563,0.0859375
209,Shuttle,23,7.95544,1.6203,1.97939,0.0791016
210,Shuttle,23,7.31154,1.66179,1.96155,0.0800781
211,Shuttle,23,8.06237,1.68532,2.01341,0.0805664
212,Shuttle,23,7.88574,1.85174,2.15258,0.088623
213,Shuttle,23,8.31583,1.72072,2.01349,0.0891113
214,Shuttle,23,8.63804,1.63092,1.91406,0.0837402
215,Shuttle,23,8.15805,1.83484,2.15878,0.0859375
216,Shuttle,23,8.2506,1.68618,1.9456,0.0795898
217,Shuttle,23,7.59203,1.704,1.91276,0.0727539
218,Shuttle,23,7.58133,1.46172,1.92019,0.0810547
219,Shuttle,23,8.09006,1.83811,2.14033,0.0856934
220,Shuttle,23,7.8484,1.72584,2.06518,0.0822754
221,Shuttle,23,7.98073,1.82961,2.12844,0.0878906
222,Shuttle,23,7.7074,1.85299,2.14959,0.0852051
223,Shuttle,23,8.15219,1.86018,2.18887,0.0893555
224,Shuttle,23,8.13481,1.81544,2.17534,0.0942383
